OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
593;1;0;593;13/07/2020 16:08;1;297231,34;9135575;297194,62;9135429,57;194,17;-5,738018201;5
594;1;0;594;13/07/2020 16:08;1;297228,42;9135575,67;297193,74;9135429,73;193,37;-5,68559763;5
595;1;0;595;13/07/2020 16:08;1;297225,48;9135576,29;297194,53;9135429,52;191,91;-5,594555863;5
596;1;0;596;13/07/2020 16:08;1;297222,55;9135576,92;297191,91;9135430,08;191,79;-6,896427783;5
597;1;0;597;13/07/2020 16:08;1;297219,63;9135577,57;297188,62;9135430,81;191,93;-6,789056663;5
598;1;0;598;13/07/2020 16:08;1;297216,7;9135578,13;297185,71;9135431,37;191,92;-7,517907683;5
599;1;0;599;13/07/2020 16:08;1;297213,77;9135578,76;297178,46;9135432,98;193,62;-7,786605425;5
600;1;0;600;13/07/2020 16:08;1;297210,86;9135579,5;297183,09;9135432,09;190,67;-8,759069507;5
601;1;0;601;13/07/2020 16:08;1;297207,89;9135579,91;297181,58;9135432,23;190,1;-6,364373227;5
602;1;0;602;13/07/2020 16:08;1;297204,94;9135580,4;297182,73;9135432,05;188,51;-7,494927999;5
603;1;0;603;13/07/2020 16:08;1;297202,01;9135581,02;297177,41;9135433,05;189,44;-8,181507215;5
604;1;0;604;13/07/2020 16:08;1;297199,02;9135581,26;297181,88;9135432,24;186,56;-8,316378667;5
